iter	Passed	Remaining
527	82271	73545
528	82415	73379
529	82556	73210
530	82697	73041
531	82840	72874
532	82982	72707
533	83124	72538
534	83266	72371
535	83411	72207
536	83555	72040
537	83697	71873
538	83829	71698
539	83970	71530
540	84110	71361
541	84251	71193
542	84393	71027
543	84534	70859
544	84679	70695
545	84820	70528
546	84959	70359
547	85101	70193
548	85250	70032
549	85398	69871
550	85538	69703
551	85677	69535
552	85818	69368
553	85964	69206
554	86108	69041
555	86248	68874
556	86392	68710
557	86531	68542
558	86672	68376
559	86810	68208
560	86953	68043
561	87093	67877
562	87237	67713
563	87380	67549
564	87521	67383
565	87665	67220
566	87805	67054
567	87946	66889
568	88096	66730
569	88236	66564
570	88380	66401
571	88525	66239
572	88672	66078
573	88825	65922
574	88966	65757
575	89116	65599
576	89268	65442
577	89417	65283
578	89557	65118
579	89699	64954
580	89836	64787
581	89975	64621
582	90121	64460
583	90263	64297
584	90407	64135
585	90550	63972
586	90691	63808
587	90831	63644
588	90966	63476
589	91109	63313
590	91252	63150
591	91389	62984
592	91544	62830
593	91688	62669
594	91834	62508
595	91975	62345
596	92687	62567
597	92983	62507
598	93130	62346
599	93277	62185
600	93446	62038
601	93611	61889
602	93780	61742
603	93926	61581
604	94068	61416
605	94214	61254
606	94357	61091
607	94499	60927
608	94640	60762
609	94781	60597
610	94925	60435
611	95071	60274
612	95219	60114
613	95371	59956
614	95528	59802
615	96197	59967
616	96606	59968
617	96911	59903
618	97072	59748
619	97219	59586
620	97362	59421
621	97507	59257
622	97653	59093
623	97796	58928
624	97935	58761
625	98083	58599
626	98228	58435
627	98367	58268
628	98516	58107
629	98657	57941
630	98814	57785
631	98960	57622
632	99107	57460
633	99256	57299
634	99397	57133
635	99540	56969
636	99681	56804
637	99819	56637
638	99963	56474
639	100117	56315
640	100263	56153
641	100404	55988
642	100545	55823
643	100685	55658
644	100827	55494
645	100969	55330
646	101114	55167
647	101258	55004
648	101404	54842
649	101544	54677
650	101682	54511
651	101823	54347
652	101980	54191
653	102122	54028
654	102265	53864
655	102410	53702
656	102548	53537
657	102690	53373
658	102829	53209
659	102973	53046
660	103115	52883
661	103254	52719
662	103394	52554
663	103545	52396
664	103684	52231
665	103822	52067
666	103960	51902
667	104102	51739
668	104241	51575
669	104383	51412
670	104527	51251
671	104669	51088
672	104814	50927
673	104953	50763
674	105091	50599
675	105234	50437
676	105376	50275
677	105519	50113
678	105666	49954
679	105803	49790
680	105942	49626
681	106081	49463
682	106222	49301
683	106360	49137
684	106500	48974
685	106641	48812
686	106783	48650
687	106923	48488
688	107063	48326
689	107206	48165
690	107348	48003
691	107488	47841
692	107632	47681
693	107779	47522
694	107930	47365
695	108071	47203
696	108209	47041
697	108351	46879
698	108491	46717
699	108631	46556
700	108775	46396
701	108921	46237
702	109065	46077
703	109209	45917
704	109364	45762
705	109504	45601
706	109646	45440
707	109787	45279
708	109929	45119
709	110076	44960
710	110218	44800
711	110360	44640
712	110504	44480
713	110647	44321
714	110805	44167
715	110959	44012
716	111107	43854
717	111254	43695
718	111407	43540
719	111551	43381
720	111698	43222
721	112221	43209
722	112782	43209
723	112958	43061
724	113181	42931
725	113335	42774
726	113494	42618
727	113657	42465
728	113824	42313
729	113980	42157
730	114772	42234
731	115131	42151
732	115317	42005
733	115474	41847
734	115637	41692
735	115801	41537
736	115948	41376
737	116094	41215
738	116240	41053
739	116389	40893
740	116540	40734
741	116686	40572
742	116831	40411
743	116975	40249
744	117120	40088
745	117259	39924
746	117399	39761
747	117543	39600
748	117687	39438
749	117834	39278
750	117977	39116
751	118116	38953
752	118257	38790
753	118396	38628
754	118541	38466
755	118683	38305
756	118840	38148
757	119013	37996
758	119166	37838
759	119331	37683
760	119473	37521
761	119611	37359
762	119765	37201
763	119911	37040
764	120056	36880
765	120197	36718
766	120338	36556
767	120482	36395
768	120627	36235
769	120772	36074
770	120916	35914
771	121058	35753
772	121198	35591
773	121340	35430
774	121480	35268
775	121619	35106
776	121758	34944
777	121902	34784
778	122040	34622
779	122179	34461
780	122322	34300
781	122466	34140
782	122608	33979
783	122747	33818
784	122892	33658
785	123037	33498
786	123182	33338
787	123328	33179
788	123474	33020
789	123617	32860
790	123758	32699
791	123898	32539
792	124036	32377
793	124176	32217
794	124326	32058
795	124478	31901
796	124634	31744
797	124793	31589
798	124944	31431
799	125088	31272
800	125237	31113
801	125421	30964
802	125631	30821
803	125796	30666
804	125983	30517
805	126137	30360
806	126285	30202
807	126437	30044
808	126591	29887
809	126754	29732
810	126943	29583
811	127114	29430
812	127272	29274
813	127451	29122
814	127603	28965
815	127751	28806
816	127908	28650
817	128058	28492
818	128208	28334
819	128379	28180
820	128555	28028
821	128709	27871
822	128928	27728
823	129098	27574
824	129313	27430
825	129475	27274
826	129630	27117
827	129787	26960
828	129938	26802
829	130096	26646
830	130263	26491
831	130429	26336
832	130612	26185
833	130800	26034
834	130956	25877
835	131106	25719
836	131263	25562
837	131425	25406
838	131574	25248
839	131721	25089
840	131869	24931
841	132066	24782
842	132246	24629
843	132417	24475
844	132599	24323
845	132753	24165
846	132901	24007
847	133073	23852
848	133224	23694
849	133388	23539
850	133586	23389
851	133743	23232
852	133893	23074
853	134070	22920
854	134230	22764
855	134379	22605
856	134529	22447
857	134684	22290
858	134843	22133
859	135007	21978
860	135166	21821
861	135313	21662
862	135462	21504
863	135619	21347
864	135776	21190
865	135923	21032
866	136069	20873
867	136218	20715
868	136376	20558
869	136522	20399
870	136679	20242
871	136822	20084
872	136965	19925
873	137111	19766
874	137264	19609
875	137409	19450
876	137561	19293
877	137715	19135
878	137868	18978
879	138010	18819
880	138154	18661
881	138294	18502
882	138440	18343
883	138597	18186
884	138780	18033
885	138933	17876
886	139085	17718
887	139229	17560
888	139374	17402
889	139518	17243
890	139675	17087
891	139832	16930
892	140030	16778
893	140181	16621
894	140337	16464
895	140499	16308
896	140674	16153
897	140836	15997
898	141002	15841
899	141157	15684
900	141301	15525
901	141455	15368
902	141601	15210
903	141748	15052
904	141894	14895
905	142033	14736
906	142176	14578
907	142319	14419
908	142460	14261
909	142604	14103
910	142750	13945
911	142891	13787
912	143032	13629
913	143172	13471
914	143310	13313
915	143449	13154
916	143586	12996
917	143729	12838
918	143868	12680
919	144004	12522
920	144145	12364
921	144286	12206
922	144424	12048
923	144562	11890
924	144704	11732
925	144844	11575
926	144984	11417
927	145123	11259
928	145269	11102
929	145422	10945
930	145572	10788
931	145723	10632
932	145870	10475
933	146007	10317
934	146148	10160
935	146290	10002
936	146433	9845
937	146574	9688
938	146720	9531
939	146863	9374
940	147003	9216
941	147149	9060
942	147299	8903
943	147433	8746
944	147580	8589
945	147737	8433
946	147889	8276
947	148031	8119
948	148606	7986
949	149007	7842
950	149257	7690
951	149439	7534
952	149583	7377
953	149739	7220
954	149887	7062
955	150040	6905
956	150206	6749
957	150344	6591
958	150485	6433
959	151119	6296
960	151527	6149
961	151859	5998
962	152021	5840
963	152169	5682
964	152321	5524
965	152469	5366
966	152619	5208
967	152763	5050
968	152901	4891
969	153043	4733
970	153189	4575
971	153334	4417
972	153477	4258
973	153619	4100
974	153762	3942
975	153906	3784
976	154046	3626
977	154187	3468
978	154328	3310
979	154468	3152
980	154609	2994
981	154747	2836
982	154901	2678
983	155049	2521
984	155197	2363
985	155344	2205
986	155478	2047
987	155621	1890
988	155761	1732
989	155906	1574
990	156052	1417
991	156193	1259
992	156335	1102
993	156477	944
994	156624	787
995	156767	629
996	156912	472
997	157058	314
998	157202	157
999	157345	0
