feature,mean_importance
SSO:000016805,-0.0006135341177113229
SSO:000031065,-0.0006131272450255798
SSO:000024227,-0.0006038272820315827
SSO:000010245,-0.0006029398646058504
SSO:000002815,-0.0005958148539760511
SSO:000019203,-0.0005925676147286951
SSO:000035277,-0.0005868006002180681
SSO:000002992,-0.0005853909596403584
SSO:000008953,-0.0005731259723976312
SSO:000002068,-0.000569391045112827
SSO:000007417,-0.0005626864623930194
SSO:000000295,-0.0005622319130580977
SSO:000024194,-0.0005574773415650991
SSO:000023742,-0.0005546074010406799
SSO:000013194,-0.0005534803228897323
SSO:000018718,-0.0005519735304344131
SSO:000001851,-0.000542220497800916
SSO:000029506,-0.0005387348394054359
SSO:000002800,-0.0005386267548406487
SSO:000025091,-0.000536245398299312
SSO:000030895,-0.0005358206880722027
SSO:000017573,-0.0005342777714594127
SSO:000021554,-0.0005338203704831456
SSO:000033963,-0.0005293091436694098
SSO:000005939,-0.0005283720758517019
SSO:000043061,-0.0005274896300830167
SSO:000009306,-0.0005250431341366546
SSO:000006042,-0.0005239325496408265
SSO:000002795,-0.000521762049114427
SSO:000012147,-0.000518855393052392
SSO:000037190,-0.0005171010037057222
SSO:000042832,-0.0005115460334803535
SSO:000021661,-0.0005111743480852749
SSO:000004958,-0.0005084848842954404
SSO:000010479,-0.0005082947735332189
SSO:000005432,-0.0005079134869380609
SSO:000042518,-0.000507835650374161
SSO:000020957,-0.0005042918356914505
SSO:000002801,-0.0005019824809221641
SSO:000042809,-0.0005017813543682914
SSO:000024953,-0.0004955383254280687
SSO:000007084,-0.0004947121100061069
SSO:000025017,-0.0004942950062366447
SSO:000024925,-0.000491573249984939
SSO:000022669,-0.0004890067009455546
SSO:000000587,-0.0004850124792672106
SSO:000017443,-0.00048328498045609457
SSO:000012992,-0.00047524996922387874
SSO:000005468,-0.00047414309693717406
SSO:000029945,-0.0004736395639238111
SSO:000002802,-0.00047356559419519664
SSO:000013395,-0.0004720822737792951
SSO:000002129,-0.0004637984019009833
SSO:000034025,-0.00046298746302937953
SSO:000002822,-0.00046177067700616247
SSO:000008678,-0.0004568858429811806
SSO:000007588,-0.0004541329098631364
SSO:000005114,-0.00045265526664349797
SSO:000003012,-0.00044939553460391355
SSO:000000843,-0.0004467102453011018
SSO:000000948,-0.00044480941415968035
SSO:000001768,-0.0004439505640923269
SSO:000006028,-0.00044223888297761915
SSO:000002919,-0.0004396982764327373
SSO:000000991,-0.0004394077627757176
SSO:000002798,-0.00043923001014712916
SSO:000003224,-0.00043414926260516574
SSO:000029974,-0.0004317137819941586
SSO:000016611,-0.0004267274664273346
SSO:000004426,-0.000426271928401345
SSO:000021299,-0.000425917322329844
SSO:000024157,-0.0004251196337879959
SSO:000025065,-0.0004225093675923719
SSO:000039438,-0.00041839407338327693
SSO:000005983,-0.00041827869457004006
SSO:000017300,-0.00041673232283063186
SSO:000009312,-0.0004124733664640501
SSO:000018777,-0.0004096964531662861
SSO:000004938,-0.0004072859918951233
SSO:000035974,-0.0004047359014779761
SSO:000020400,-0.00040455685352120964
SSO:000006555,-0.0004044952443089833
SSO:000004832,-0.0004027501692790314
SSO:000004128,-0.0003970245682861806
SSO:000004880,-0.00039478404716773995
SSO:000039483,-0.0003931704168534833
SSO:000023762,-0.0003916811763658712
SSO:000043842,-0.0003913670699958238
SSO:000002359,-0.00039031773885210287
SSO:000034423,-0.00038676577731524555
SSO:000021054,-0.00038532746722300115
SSO:000000569,-0.00038532536094957324
SSO:000001091,-0.00038437610884555775
SSO:000003148,-0.0003841151265562337
SSO:000002985,-0.0003818208142850776
SSO:000033521,-0.00037894407839859646
SSO:000008149,-0.0003787101698469908
SSO:000009601,-0.0003768376786152716
SSO:000043427,-0.00037681741550539273
SSO:000017976,-0.00037584975473491377
SSO:000012882,-0.0003750434460821239
SSO:000005954,-0.0003720083244822314
SSO:000007156,-0.00037185658324696
SSO:000012216,-0.0003705879847283433
SSO:000001479,-0.0003697974108132607
SSO:000007097,-0.00036948469343627276
SSO:000007177,-0.0003672978989623543
SSO:000012160,-0.0003660171120378031
SSO:000035891,-0.00036523005776680216
SSO:000010600,-0.00036331991934938636
SSO:000005278,-0.000360830765440584
